Run,GEO,Name,Chronological_Age_in_Hours,Median_Lifespan_in_Days,Median_Lifespan_in_Hours,Correction_Factor,Biological_Age_in_Hours,Biological_Age_Days,Corrected_Bio_Age_Days,Chronological_Age_Days,Strain,Treatment,AvgSpotLen,Instrument,LibraryLayout,LibrarySelection,RNA_interference,FUDR
SRR8240863,GSE122892,fer-15(b26ts),48,17.85,428.4,0.8683473389,41.6806722689,1.7366946779,1.7366942679,2,fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
SRR8240864,GSE122892,fer-15(b26ts),48,17.85,428.4,0.8683473389,41.6806722689,1.7366946779,1.7366942679,2,fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
SRR8240865,GSE122892,fer-15(b26ts),48,17.85,428.4,0.8683473389,41.6806722689,1.7366946779,1.7366942679,2,fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
SRR8240884,GSE122892,daf-16(mu86);fer-15(b26ts),48,15.33,367.92,1.0110893673,48.5322896282,2.0221787345,2.0221780122,2,daf-16(mu86);fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
SRR8240885,GSE122892,daf-16(mu86);fer-15(b26ts),48,15.33,367.92,1.0110893673,48.5322896282,2.0221787345,2.0221780122,2,daf-16(mu86);fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
SRR8240886,GSE122892,daf-16(mu86);fer-15(b26ts),48,15.33,367.92,1.0110893673,48.5322896282,2.0221787345,2.0221780122,2,daf-16(mu86);fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
SRR8240866,GSE122892,fer-15(b26ts),72,17.85,428.4,0.8683473389,62.5210084034,2.6050420168,2.6050397986,3,fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
SRR8240867,GSE122892,fer-15(b26ts),72,17.85,428.4,0.8683473389,62.5210084034,2.6050420168,2.6050397986,3,fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
SRR8240868,GSE122892,fer-15(b26ts),72,17.85,428.4,0.8683473389,62.5210084034,2.6050420168,2.6050397986,3,fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
SRR8240887,GSE122892,daf-16(mu86);fer-15(b26ts),72,15.33,367.92,1.0110893673,72.7984344423,3.0332681018,3.0332631901,3,daf-16(mu86);fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
SRR8240888,GSE122892,daf-16(mu86);fer-15(b26ts),72,15.33,367.92,1.0110893673,72.7984344423,3.0332681018,3.0332631901,3,daf-16(mu86);fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
SRR8240889,GSE122892,daf-16(mu86);fer-15(b26ts),72,15.33,367.92,1.0110893673,72.7984344423,3.0332681018,3.0332631901,3,daf-16(mu86);fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
SRR8240869,GSE122892,fer-15(b26ts),96,17.85,428.4,0.8683473389,83.3613445378,3.4733893557,3.4733785214,4,fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
SRR8240870,GSE122892,fer-15(b26ts),96,17.85,428.4,0.8683473389,83.3613445378,3.4733893557,3.4733785214,4,fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
SRR8240871,GSE122892,fer-15(b26ts),96,17.85,428.4,0.8683473389,83.3613445378,3.4733893557,3.4733785214,4,fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
SRR8240890,GSE122892,daf-16(mu86);fer-15(b26ts),96,15.33,367.92,1.0110893673,97.0645792564,4.044357469,4.04432839,4,daf-16(mu86);fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
SRR8240891,GSE122892,daf-16(mu86);fer-15(b26ts),96,15.33,367.92,1.0110893673,97.0645792564,4.044357469,4.04432839,4,daf-16(mu86);fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
SRR8240892,GSE122892,daf-16(mu86);fer-15(b26ts),96,15.33,367.92,1.0110893673,97.0645792564,4.044357469,4.04432839,4,daf-16(mu86);fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
SRR8240872,GSE122892,fer-15(b26ts),120,17.85,428.4,0.8683473389,104.2016806723,4.3417366947,4.3416889042,5,fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
SRR8240873,GSE122892,fer-15(b26ts),120,17.85,428.4,0.8683473389,104.2016806723,4.3417366947,4.3416889042,5,fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
SRR8240874,GSE122892,fer-15(b26ts),120,17.85,428.4,0.8683473389,104.2016806723,4.3417366947,4.3416889042,5,fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
SRR8240893,GSE122892,daf-16(mu86);fer-15(b26ts),120,15.33,367.92,1.0110893673,121.3307240705,5.0554468363,5.0552968286,5,daf-16(mu86);fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
SRR8240894,GSE122892,daf-16(mu86);fer-15(b26ts),120,15.33,367.92,1.0110893673,121.3307240705,5.0554468363,5.0552968286,5,daf-16(mu86);fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
SRR8240895,GSE122892,daf-16(mu86);fer-15(b26ts),120,15.33,367.92,1.0110893673,121.3307240705,5.0554468363,5.0552968286,5,daf-16(mu86);fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
SRR8240875,GSE122892,fer-15(b26ts),144,17.85,428.4,0.8683473389,125.0420168067,5.2100840336,5.209893558,6,fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
SRR8240876,GSE122892,fer-15(b26ts),144,17.85,428.4,0.8683473389,125.0420168067,5.2100840336,5.209893558,6,fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
SRR8240877,GSE122892,fer-15(b26ts),144,17.85,428.4,0.8683473389,125.0420168067,5.2100840336,5.209893558,6,fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
SRR8240896,GSE122892,daf-16(mu86);fer-15(b26ts),144,15.33,367.92,1.0110893673,145.5968688845,6.0665362035,6.06586132,6,daf-16(mu86);fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
SRR8240897,GSE122892,daf-16(mu86);fer-15(b26ts),144,15.33,367.92,1.0110893673,145.5968688845,6.0665362035,6.06586132,6,daf-16(mu86);fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
SRR8240898,GSE122892,daf-16(mu86);fer-15(b26ts),144,15.33,367.92,1.0110893673,145.5968688845,6.0665362035,6.06586132,6,daf-16(mu86);fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
SRR8240878,GSE122892,fer-15(b26ts),168,17.85,428.4,0.8683473389,145.8823529412,6.0784313726,6.0777449986,7,fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
SRR8240879,GSE122892,fer-15(b26ts),168,17.85,428.4,0.8683473389,145.8823529412,6.0784313726,6.0777449986,7,fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
SRR8240880,GSE122892,fer-15(b26ts),168,17.85,428.4,0.8683473389,145.8823529412,6.0784313726,6.0777449986,7,fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
SRR8240899,GSE122892,daf-16(mu86);fer-15(b26ts),168,15.33,367.92,1.0110893673,169.8630136986,7.0776255708,7.0749745114,7,daf-16(mu86);fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
SRR8240900,GSE122892,daf-16(mu86);fer-15(b26ts),168,15.33,367.92,1.0110893673,169.8630136986,7.0776255708,7.0749745114,7,daf-16(mu86);fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
SRR8240901,GSE122892,daf-16(mu86);fer-15(b26ts),168,15.33,367.92,1.0110893673,169.8630136986,7.0776255708,7.0749745114,7,daf-16(mu86);fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
SRR6207027,GSE106079,fer-15(b26) II; fem-1(hc17) IV,24,15.5,372,1,24,1,0.9999999097,1,fer-15(b26) II; fem-1(hc17) IV,None,36,Illumina Genome Analyzer IIx,SINGLE,cDNA,None,
SRR6207028,GSE106079,fer-15(b26) II; fem-1(hc17) IV,120,15.5,372,1,120,5,4.9998624113,5,fer-15(b26) II; fem-1(hc17) IV,None,36,Illumina Genome Analyzer IIx,SINGLE,cDNA,None,
SRR6207029,GSE106079,fer-15(b26) II; fem-1(hc17) IV,216,15.5,372,1,216,9,8.9752858699,9,fer-15(b26) II; fem-1(hc17) IV,None,36,Illumina Genome Analyzer IIx,SINGLE,cDNA,None,
SRR6207030,GSE106079,fer-15(b26) II; fem-1(hc17) IV,312,15.5,372,1,312,13,12.4164621233,13,fer-15(b26) II; fem-1(hc17) IV,None,36,Illumina Genome Analyzer IIx,SINGLE,cDNA,None,
SRR5196704,SRP097655,flr-4(n2259)_ev,24,32.93,790.32,0.4706954145,11.2966899484,0.4706954145,0.4706953854,1,flr-4(n2259),FUDR,34,Illumina Genome Analyzer IIx,SINGLE,RANDOM,Empty vector,FUDR
SRR5196703,SRP097655,N2_flr4,24,32.38,777.12,0.4786905497,11.4885731933,0.4786905497,0.4786905201,1,N2,FUDR,34,Illumina Genome Analyzer IIx,SINGLE,RANDOM,flr-4,FUDR
SRR4237204,PRJNA342407,eat-2(ad1116) + ev,24,28,672,0.5535714286,13.2857142857,0.5535714286,0.5535713938,1,eat-2(ad1116),FUDR,34,Illumina Genome Analyzer IIx,SINGLE,RANDOM,Empty vector,FUDR
SRR4237215,PRJNA342407,eat-2(ad1116) + ev,24,28,672,0.5535714286,13.2857142857,0.5535714286,0.5535713938,1,eat-2(ad1116),FUDR,34,Illumina Genome Analyzer IIx,SINGLE,RANDOM,Empty vector,FUDR
SRR4243047,PRJNA342407,eat-2(ad1116),24,28,672,0.5535714286,13.2857142857,0.5535714286,0.5535713938,1,eat-2(ad1116),FUDR,76,Illumina Genome Analyzer IIx,SINGLE,RANDOM,None,FUDR
SRR4243048,PRJNA342407,eat-2(ad1116),24,28,672,0.5535714286,13.2857142857,0.5535714286,0.5535713938,1,eat-2(ad1116),FUDR,72,Illumina Genome Analyzer IIx,SINGLE,RANDOM,None,FUDR
SRR4237212,PRJNA342407,N2 + ev,24,19.98,479.52,0.7757757758,18.6186186186,0.7757757758,0.7757757196,1,N2,FUDR,34,Illumina Genome Analyzer IIx,SINGLE,RANDOM,Empty vector,FUDR
SRR4243045,PRJNA342407,N2,24,19.98,479.52,0.7757757758,18.6186186186,0.7757757758,0.7757757196,1,N2,FUDR,76,Illumina Genome Analyzer IIx,SINGLE,RANDOM,None,FUDR
SRR4243046,PRJNA342407,N2,24,19.98,479.52,0.7757757758,18.6186186186,0.7757757758,0.7757757196,1,N2,FUDR,72,Illumina Genome Analyzer IIx,SINGLE,RANDOM,None,FUDR
SRR4243049,PRJNA342407,N2 + ev,24,19.98,479.52,0.7757757758,18.6186186186,0.7757757758,0.7757757196,1,N2,FUDR,34,Illumina Genome Analyzer IIx,SINGLE,RANDOM,Empty vector,FUDR
SRR5196705,SRP097655,N2_ev,24,19.52,468.48,0.794057377,19.0573770492,0.7940573771,0.7940573187,1,N2,FUDR,72,Illumina Genome Analyzer IIx,SINGLE,RANDOM,Empty vector,FUDR
SRR4237205,PRJNA342407,eat-2(ad1116) +smg-2(RNAi),24,19.27,462.48,0.8043591074,19.3046185781,0.8043591074,0.8043590478,1,eat-2(ad1116),FUDR,34,Illumina Genome Analyzer IIx,SINGLE,RANDOM,smg-2,FUDR
SRR4237206,PRJNA342407,eat-2(ad1116) +smg-2(RNAi),24,19.27,462.48,0.8043591074,19.3046185781,0.8043591074,0.8043590478,1,eat-2(ad1116),FUDR,34,Illumina Genome Analyzer IIx,SINGLE,RANDOM,smg-2,FUDR
SRR5196707,SRP097655,N2,24,18.94,454.56,0.818373812,19.6409714889,0.818373812,0.8183737506,1,N2,FUDR,72,Illumina Genome Analyzer IIx,SINGLE,RANDOM,None,FUDR
SRR833241,GSE46257,N2_arsenite,35,26.4,633.6,0.5871212121,20.5492424242,0.8562184343,0.8562183677,1.4583333333,N2,100nM arsenite,76,Illumina Genome Analyzer IIx,SINGLE,cDNA,None,None
SRR833243,GSE46257,N2_arsenite,35,26.4,633.6,0.5871212121,20.5492424242,0.8562184343,0.8562183677,1.4583333333,N2,100nM arsenite,76,Illumina Genome Analyzer IIx,SINGLE,cDNA,None,None
SRR4237213,PRJNA342407,N2 + smg-2(RNAi),24,17.87,428.88,0.8673754896,20.8170117515,0.8673754896,0.8673754214,1,N2,FUDR,34,Illumina Genome Analyzer IIx,SINGLE,RANDOM,smg-2,FUDR
SRR4237214,PRJNA342407,N2 + smg-2(RNAi),24,17.87,428.88,0.8673754896,20.8170117515,0.8673754896,0.8673754214,1,N2,FUDR,34,Illumina Genome Analyzer IIx,SINGLE,RANDOM,smg-2,FUDR
SRR5196706,SRP097655,flr-4(n2259),24,17.61,422.64,0.8801817149,21.1243611584,0.8801817149,0.8801816448,1,flr-4(n2259),FUDR,72,Illumina Genome Analyzer IIx,SINGLE,RANDOM,None,FUDR
SRR833240,GSE46257,N2_H2O,35,24.1,578.4,0.643153527,22.510373444,0.9379322268,0.9379321476,1.4583333333,N2,H2O,76,Illumina Genome Analyzer IIx,SINGLE,cDNA,None,None
SRR833242,GSE46257,N2_H2O,35,24.1,578.4,0.643153527,22.510373444,0.9379322268,0.9379321476,1.4583333333,N2,H2O,76,Illumina Genome Analyzer IIx,SINGLE,cDNA,None,None
SRR413512,GSE36041,daf-2(e1370),107,51.09,1226.16,0.3033861812,32.4623213936,1.3525967247,1.3525965367,4.4583333333,daf-2(e1370),None,76,Illumina Genome Analyzer IIx,SINGLE,cDNA,None,None
SRR413513,GSE36041,daf-2(e1370),107,51.09,1226.16,0.3033861812,32.4623213936,1.3525967247,1.3525965367,4.4583333333,daf-2(e1370),None,76,Illumina Genome Analyzer IIx,SINGLE,cDNA,None,None
SRR413516,GSE36041,daf-2(e1370),107,51.09,1226.16,0.3033861812,32.4623213936,1.3525967247,1.3525965367,4.4583333333,daf-2(e1370),None,76,Illumina Genome Analyzer IIx,SINGLE,cDNA,None,None
SRR413517,GSE36041,daf-2(e1370),107,51.09,1226.16,0.3033861812,32.4623213936,1.3525967247,1.3525965367,4.4583333333,daf-2(e1370),None,76,Illumina Genome Analyzer IIx,SINGLE,cDNA,None,None
SRR413519,GSE36041,daf-2(e1370),107,51.09,1226.16,0.3033861812,32.4623213936,1.3525967247,1.3525965367,4.4583333333,daf-2(e1370),None,76,Illumina Genome Analyzer IIx,SINGLE,cDNA,None,None
SRR4237207,PRJNA342407,eat-2(ad1116) + ev,72,28,672,0.5535714286,39.8571428571,1.6607142857,1.6607139338,3,eat-2(ad1116),FUDR,34,Illumina Genome Analyzer IIx,SINGLE,RANDOM,Empty vector,FUDR
SRR4237208,PRJNA342407,eat-2(ad1116) + ev,72,28,672,0.5535714286,39.8571428571,1.6607142857,1.6607139338,3,eat-2(ad1116),FUDR,34,Illumina Genome Analyzer IIx,SINGLE,RANDOM,Empty vector,FUDR
SRR4237202,PRJNA342407,N2 + ev,72,19.98,479.52,0.7757757758,55.8558558559,2.3273273273,2.3273260202,3,N2,FUDR,34,Illumina Genome Analyzer IIx,SINGLE,RANDOM,Empty vector,FUDR
SRR4237203,PRJNA342407,N2 + ev,72,19.98,479.52,0.7757757758,55.8558558559,2.3273273273,2.3273260202,3,N2,FUDR,34,Illumina Genome Analyzer IIx,SINGLE,RANDOM,Empty vector,FUDR
SRR4237209,PRJNA342407,eat-2(ad1116) + Y41e3.11(RNAi),72,18.08,433.92,0.857300885,61.7256637168,2.5719026549,2.5719005712,3,eat-2(ad1116),FUDR,34,Illumina Genome Analyzer IIx,SINGLE,RANDOM,Y41e3.11,FUDR
SRR4237210,PRJNA342407,eat-2(ad1116) + Y41e3.11(RNAi),72,18.08,433.92,0.857300885,61.7256637168,2.5719026549,2.5719005712,3,eat-2(ad1116),FUDR,34,Illumina Genome Analyzer IIx,SINGLE,RANDOM,Y41e3.11,FUDR
SRR413510,GSE36041,N2,107,19.4,465.6,0.7989690722,85.4896907216,3.5620704467,3.5620577804,4.4583333333,N2,None,76,Illumina Genome Analyzer IIx,SINGLE,cDNA,None,None
SRR413511,GSE36041,N2,107,19.4,465.6,0.7989690722,85.4896907216,3.5620704467,3.5620577804,4.4583333333,N2,None,76,Illumina Genome Analyzer IIx,SINGLE,cDNA,None,None
SRR413514,GSE36041,N2,107,19.4,465.6,0.7989690722,85.4896907216,3.5620704467,3.5620577804,4.4583333333,N2,None,76,Illumina Genome Analyzer IIx,SINGLE,cDNA,None,None
SRR413515,GSE36041,N2,107,19.4,465.6,0.7989690722,85.4896907216,3.5620704467,3.5620577804,4.4583333333,N2,None,76,Illumina Genome Analyzer IIx,SINGLE,cDNA,None,None
SRR413518,GSE36041,N2,107,19.4,465.6,0.7989690722,85.4896907216,3.5620704467,3.5620577804,4.4583333333,N2,None,76,Illumina Genome Analyzer IIx,SINGLE,cDNA,None,None
SRR1945006,GSE67387,N2,24,16,384,0.96875,23.25,0.96875,0.9687499155,1,N2,None,50,Illumina HiScanSQ,SINGLE,cDNA,None,None
SRR1945007,GSE67387,N2,24,16,384,0.96875,23.25,0.96875,0.9687499155,1,N2,None,50,Illumina HiScanSQ,SINGLE,cDNA,None,None
SRR1945008,GSE67387,tut-1(tm1297);elpc-1(tm2149),24,9,216,1.7222222222,41.3333333333,1.7222222222,1.722221824,1,tut-1(tm1297);elpc-1(tm2149),None,50,Illumina HiScanSQ,SINGLE,cDNA,None,None
SRR1945009,GSE67387,tut-1(tm1297);elpc-1(tm2149),24,9,216,1.7222222222,41.3333333333,1.7222222222,1.722221824,1,tut-1(tm1297);elpc-1(tm2149),None,50,Illumina HiScanSQ,SINGLE,cDNA,None,None
SRR7474909,SRP152334,N2_6h32C,1,26.29,630.96,0.5895777862,0.5895777862,0.0245657411,0.0245657302,0.0416666667,N2,6h 32C+FUDR,50,Illumina HiSeq 2000,SINGLE,Oligo-dT,None,FUDR
SRR7474915,SRP152334,N2_6h32C,1,26.29,630.96,0.5895777862,0.5895777862,0.0245657411,0.0245657302,0.0416666667,N2,6h 32C+FUDR,50,Illumina HiSeq 2000,SINGLE,Oligo-dT,None,FUDR
SRR7474946,SRP152334,N2_6h32C,1,26.29,630.96,0.5895777862,0.5895777862,0.0245657411,0.0245657302,0.0416666667,N2,6h 32C+FUDR,50,Illumina HiSeq 2000,SINGLE,Oligo-dT,None,FUDR
SRR7474920,SRP152334,N2_6mMtBOOH,1,24.96,599.04,0.6209935897,0.6209935897,0.0258747329,0.025874722,0.0416666667,N2,6h 6 mM tBOOH+FUDR,50,Illumina HiSeq 2000,SINGLE,Oligo-dT,None,FUDR
SRR7474943,SRP152334,N2_6mMtBOOH,1,24.96,599.04,0.6209935897,0.6209935897,0.0258747329,0.025874722,0.0416666667,N2,6h 6 mM tBOOH+FUDR,50,Illumina HiSeq 2000,SINGLE,Oligo-dT,None,FUDR
SRR7474944,SRP152334,N2_6mMtBOOH,1,24.96,599.04,0.6209935897,0.6209935897,0.0258747329,0.025874722,0.0416666667,N2,6h 6 mM tBOOH+FUDR,50,Illumina HiSeq 2000,SINGLE,Oligo-dT,None,FUDR
SRR7474908,SRP152334,hlh-30(tm1978)_6h32C,1,23.42,562.08,0.6618274979,0.6618274979,0.0275761457,0.0275761348,0.0416666667,hlh-30(tm1978),6h 32C+FUDR,50,Illumina HiSeq 2000,SINGLE,Oligo-dT,None,FUDR
SRR7474910,SRP152334,hlh-30(tm1978)_6h32C,1,23.42,562.08,0.6618274979,0.6618274979,0.0275761457,0.0275761348,0.0416666667,hlh-30(tm1978),6h 32C+FUDR,50,Illumina HiSeq 2000,SINGLE,Oligo-dT,None,FUDR
SRR7474916,SRP152334,hlh-30(tm1978)_6h32C,1,23.42,562.08,0.6618274979,0.6618274979,0.0275761457,0.0275761348,0.0416666667,hlh-30(tm1978),6h 32C+FUDR,50,Illumina HiSeq 2000,SINGLE,Oligo-dT,None,FUDR
SRR7474913,SRP152334,daf-16(mu86)_6h32C,1,22.83,547.92,0.6789312308,0.6789312308,0.0282888013,0.0282887903,0.0416666667,daf-16(mu86),6h 32C+FUDR,50,Illumina HiSeq 2000,SINGLE,Oligo-dT,None,FUDR
SRR7474914,SRP152334,daf-16(mu86)_6h32C,1,22.83,547.92,0.6789312308,0.6789312308,0.0282888013,0.0282887903,0.0416666667,daf-16(mu86),6h 32C+FUDR,50,Illumina HiSeq 2000,SINGLE,Oligo-dT,None,FUDR
SRR7474947,SRP152334,daf-16(mu86)_6h32C,1,22.83,547.92,0.6789312308,0.6789312308,0.0282888013,0.0282887903,0.0416666667,daf-16(mu86),6h 32C+FUDR,50,Illumina HiSeq 2000,SINGLE,Oligo-dT,None,FUDR
SRR7474911,SRP152334,daf-16(mu86);hlh-30(tm1978)_6h32C,1,20.36,488.64,0.7612966601,0.7612966601,0.0317206942,0.0317206831,0.0416666667,daf-16(mu86);hlh-30(tm1978),6h 32C+FUDR,50,Illumina HiSeq 2000,SINGLE,Oligo-dT,None,FUDR
SRR7474912,SRP152334,daf-16(mu86);hlh-30(tm1978)_6h32C,1,20.36,488.64,0.7612966601,0.7612966601,0.0317206942,0.0317206831,0.0416666667,daf-16(mu86);hlh-30(tm1978),6h 32C+FUDR,50,Illumina HiSeq 2000,SINGLE,Oligo-dT,None,FUDR
SRR7474964,SRP152334,daf-16(mu86);hlh-30(tm1978)_6h32C,1,20.36,488.64,0.7612966601,0.7612966601,0.0317206942,0.0317206831,0.0416666667,daf-16(mu86);hlh-30(tm1978),6h 32C+FUDR,50,Illumina HiSeq 2000,SINGLE,Oligo-dT,None,FUDR
SRR3657711,GSE83239,mir-60(n4947);spe-9(hc88),1,16.83,403.92,0.9209744504,0.9209744504,0.0383739354,0.0383739242,0.0416666667,mir-60(n4947);spe-9(hc88),None,100,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR3657712,GSE83239,mir-60(n4947);spe-9(hc88),1,16.83,403.92,0.9209744504,0.9209744504,0.0383739354,0.0383739242,0.0416666667,mir-60(n4947);spe-9(hc88),None,100,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR3657718,GSE83239,mir-60(n4947);spe-9(hc88),1,16.83,403.92,0.9209744504,0.9209744504,0.0383739354,0.0383739242,0.0416666667,mir-60(n4947);spe-9(hc88),None,100,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR3657719,GSE83239,mir-60(n4947);spe-9(hc88),1,16.83,403.92,0.9209744504,0.9209744504,0.0383739354,0.0383739242,0.0416666667,mir-60(n4947);spe-9(hc88),None,100,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR3657715,GSE83239,spe-9(hc88),1,15,360,1.0333333333,1.0333333333,0.0430555556,0.0430555442,0.0416666667,spe-9(hc88),None,100,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR3657716,GSE83239,spe-9(hc88),1,15,360,1.0333333333,1.0333333333,0.0430555556,0.0430555442,0.0416666667,spe-9(hc88),None,100,Illumina HiSeq 2000,SINGLE,cDNA,None,None
